vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-4w2v-q235-vp99,axios,0,0.21.1,
GHSA-j9f8-8h89-j69x,node-os-utils,0,1.1.0,
GHSA-x4r7-m2q9-69c8,graphiql,0.5.0,1.4.7,https://github.com/graphql/graphiql
GHSA-6263-x97c-c4gg,matrix-js-sdk,0,19.7.0,https://github.com/matrix-org/matrix-js-sdk
GHSA-m75h-cghq-c8h5,libyaml,0,0.2.3,https://bitbucket.org/xi/libyaml
GHSA-fmvm-x8mv-47mj,next,10.0.0,12.1.0,https://github.com/vercel/next.js
GHSA-r7qp-cfhv-p84w,engine.io,0,3.6.1,https://github.com/socketio/engine.io
GHSA-r7qp-cfhv-p84w,engine.io,4.0.0,6.2.1,https://github.com/socketio/engine.io
GHSA-h4mf-75hf-67w4,parse-server,0,4.1.0,
GHSA-9x7m-9hpg-xxmw,putil-merge,1.0.0,3.7.0,
GHSA-7gc6-qh9x-w6h8,cross-fetch,3.0.0,3.1.5,https://github.com/lquixada/cross-fetch
GHSA-7gc6-qh9x-w6h8,cross-fetch,0,2.2.6,https://github.com/lquixada/cross-fetch
GHSA-23vw-mhv5-grv5,@hapi/hapi,0,18.4.1,
GHSA-23vw-mhv5-grv5,@hapi/hapi,19.0.0,19.1.1,
GHSA-9cp3-fh5x-xfcj,charset,0,1.0.1,
GHSA-545q-3fg6-48m7,html-parse-stringify,0,2.0.1,
GHSA-82v2-mx6x-wq7q,log4js,0,6.4.0,https://github.com/log4js-node/log4js-node
GHSA-fhjf-83wg-r2j9,mixin-deep,0,1.3.2,
GHSA-fhjf-83wg-r2j9,mixin-deep,2.0.0,2.0.1,
GHSA-cqp5-m4pq-gfgp,defaults-deep,0,0.2.4,
GHSA-r4jg-5v89-9v62,octocat.js,0,1.2,https://github.com/octocademy/octocat.js
GHSA-wh77-3x4m-4q9g,bootstrap-sass,3.0.0,3.4.1,
GHSA-wh77-3x4m-4q9g,bootstrap,3.0.0,3.4.1,
GHSA-wh77-3x4m-4q9g,bootstrap,4.0.0,4.3.1,
GHSA-w23f-f3c5-r9qh,ikst,0,1.1.2,
GHSA-pv4c-p2j5-38j4,url-parse,0,1.4.3,
GHSA-phwq-j96m-2c2q,ejs,0,3.1.7,https://github.com/mde/ejs
GHSA-xw79-hhv6-578c,serve,0,10.0.2,https://github.com/zeit/serve-handler
GHSA-9mjx-wfqp-j5ph,window-control,0,1.4.5,https://github.com/bruno-robert/window-control
GHSA-qm7x-rc44-rrqw,apollo-server,2.0.0,2.25.3,https://github.com/apollographql/apollo-server
GHSA-qm7x-rc44-rrqw,apollo-server,3.0.0,3.4.1,https://github.com/apollographql/apollo-server
GHSA-4c87-gg2q-fc6m,rc-calendar-jhorst,8.4.3,8.4.2,
GHSA-pp7h-53gx-mx7r,bl,0,1.2.3,
GHSA-pp7h-53gx-mx7r,bl,2.0.0,2.2.1,
GHSA-pp7h-53gx-mx7r,bl,3.0.0,3.0.1,
GHSA-pp7h-53gx-mx7r,bl,4.0.0,4.0.3,
GHSA-hrpp-h998-j3pp,qs,6.10.0,6.10.3,https://github.com/ljharb/qs
GHSA-hrpp-h998-j3pp,qs,6.9.0,6.9.7,https://github.com/ljharb/qs
GHSA-hrpp-h998-j3pp,qs,6.8.0,6.8.3,https://github.com/ljharb/qs
GHSA-hrpp-h998-j3pp,qs,6.7.0,6.7.3,https://github.com/ljharb/qs
GHSA-hrpp-h998-j3pp,qs,6.6.0,6.6.1,https://github.com/ljharb/qs
